bucket,live_lines,lines_trailer,lines_claude_author,lines_no_marker,lines_certo_harness,lines_probabile_harness,lines_probabile_manuale,lines_incerto,lines_pre2026,lines_merge
pre-2026,64672,0,0,64672,0,0,0,0,64672,0
2026-01,121942,8259,0,113683,8259,0,91246,22345,0,92
2026-02,69265,5389,0,63876,5389,0,41256,22598,0,22
2026-03,49671,17473,0,32198,17473,122,6216,25772,0,88
2026-04,27923,1773,0,26150,1773,20121,4156,1870,0,3
2026-05,39499,7912,0,31587,7912,12804,10549,8234,0,0
2026-06,23843,10103,0,13740,10103,4491,5332,725,0,3192
2026-07,48168,30879,3633,13656,34512,4083,4709,4864,0,0
2026-08,150970,74523,19660,56787,94183,36320,3906,16561,0,0
area:frontend/src,348716,59258,6037,283421,,,,,,
area:docs,237448,93683,16943,126822,,,,,,
area:frontend/other,7227,2813,313,4101,,,,,,
area:root+scripts,2562,557,0,2005,,,,,,
