file,live_lines,lines_trailer,lines_claude_author,lines_no_marker,lines_certo_harness,lines_probabile_harness,lines_probabile_manuale,lines_incerto,lines_pre2026,lines_merge,lines_uncommitted
docs/claude-code-log-archive.md,12479,9859,0,2620,9859,2599,0,21,0,0,0
frontend/src/model/logicWrapper/LModelElement.tsx,8033,253,0,7780,253,52,545,20,7162,1,0
frontend/src/components/editor-v2/EditorV2.tsx,4381,1227,114,3040,1341,598,978,1407,0,57,0
frontend/src/components/editor-v2/EditorV2.scss,4305,992,29,3284,1021,546,2225,513,0,0,0
frontend/src/joiner/classes.ts,4188,33,0,4155,33,80,136,12,3927,0,0
frontend/src/components/editors/views/nestedView.scss,3736,173,0,3563,173,75,2680,670,138,0,0
frontend/src/common/U.tsx,3678,24,0,3654,24,2,240,1,3354,57,0
docs/jjtl-jjel-paper.tex,3352,1554,0,1798,1554,90,160,1548,0,0,0
docs/handover/HANDOVER-UI-REDESIGN-2026-01-22.md,3166,1028,0,2138,1028,0,662,1476,0,0,0
frontend/src/jjtl/executor/executor.ts,2978,470,0,2508,470,609,1438,458,0,3,0
frontend/src/components/project/ProjectEditor.tsx,2916,847,0,2069,847,408,1357,303,0,1,0
frontend/src/components/Jodie/JodieWindow.css,2891,408,0,2483,408,363,1535,585,0,0,0
frontend/src/model/dataStructure/GraphDataElements.tsx,2877,89,0,2788,89,33,77,40,2638,0,0
docs/EDITOR-V3-DESIGN.md,2687,0,0,2687,0,0,0,2687,0,0,0
frontend/src/components/TreeViewSidebar/TreeViewContent.tsx,2657,1088,0,1569,1088,1105,103,361,0,0,0
frontend/src/components/editors/properties-with-tree-view.scss,2540,1143,0,1397,1143,559,455,383,0,0,0
frontend/src/jjtl/styles/jjtl.scss,2517,12,0,2505,12,33,2472,0,0,0,0
frontend/src/pages/components/navbar.scss,2327,154,0,2173,154,321,1293,134,425,0,0
frontend/src/components/editor-v2/utils/edgeUtils.ts,2305,1607,0,698,1607,18,365,315,0,0,0
frontend/src/pages/components/Navbar.tsx,2089,633,0,1456,633,410,617,72,356,1,0
docs/HANDOVER_COMPLETO.md,2001,0,0,2001,0,0,0,2001,0,0,0
frontend/src/components/TreeViewSidebar/tree-view-sidebar.scss,1977,846,0,1131,846,299,396,436,0,0,0
frontend/src/view/viewElement/view.tsx,1966,65,12,1889,77,178,63,7,1631,10,0
docs/decisions.md,1918,918,19,981,937,932,0,49,0,0,0
frontend/src/components/editors/Console/console-tab.scss,1899,0,0,1899,0,0,419,1480,0,0,0
frontend/src/components/editor-v2/sync/canvasToJjom.ts,1863,273,0,1590,273,150,29,1411,0,0,0
frontend/src/components/editors/views/data/palette-data.scss,1835,58,0,1777,58,19,1758,0,0,0,0
frontend/src/components/abstract/tabs/DocumentationTab.scss,1826,23,0,1803,23,2,1801,0,0,0,0
docs/archivio/artefatti/claude_tracciabilita_seed_v31.json,1804,0,1804,0,1804,0,0,0,0,0,0
docs/jjom-api-extracted.md,1803,0,0,1803,0,0,1803,0,0,0,0
frontend/src/common/DV.tsx,1799,30,0,1769,30,7,169,207,1379,7,0
docs/CLAUDE_DEVELOPMENT_GUIDE.md,1658,0,0,1658,0,0,1658,0,0,0,0
frontend/src/components/editors/info-improvements.scss,1648,55,0,1593,55,0,601,962,0,30,0
frontend/src/components/editors/Info.tsx,1624,287,5,1332,292,282,403,245,368,34,0
frontend/src/redux/reducer/reducer.ts,1597,58,0,1539,58,16,53,5,1465,0,0
frontend/src/components/editor-v2/hooks/useJjomSync.ts,1588,170,0,1418,170,406,6,1006,0,0,0
frontend/src/components/project/project-editor.scss,1496,558,0,938,558,52,785,101,0,0,0
docs/feature-inventory.md,1484,0,0,1484,0,1484,0,0,0,0,0
frontend/src/api/data.ts,1483,30,0,1453,30,116,17,169,1151,0,0
frontend/src/jjscript/components/ScriptBlock.tsx,1477,32,0,1445,32,270,730,445,0,0,0
frontend/src/jjtl/parser/parser.ts,1468,349,0,1119,349,9,838,272,0,0,0
frontend/src/components/editor-v2/viewpoint/ir/__tests__/ir.test.ts,1444,576,552,316,1128,205,0,111,0,0,0
frontend/src/pages/dashboard.scss,1430,263,0,1167,263,304,505,7,351,0,0
frontend/src/components/colorScheme/defaultColorScheme.scss,1420,6,0,1414,6,0,25,0,1389,0,0
frontend/src/styles/components/_form-system.scss,1388,270,0,1118,270,16,933,144,0,25,0
docs/archivio/artefatti/claude_tracciabilita-jjodel.jsx,1361,1361,0,0,1361,0,0,0,0,0,0
frontend/src/pages/components/project-card.scss,1348,0,0,1348,0,341,941,66,0,0,0
frontend/src/jjscript/parser/parser.ts,1343,345,0,998,345,0,972,26,0,0,0
frontend/src/services/export/XMIService.ts,1339,968,0,371,968,256,1,114,0,0,0
docs/jjtl-jjel-paper.log,1291,177,0,1114,177,15,130,969,0,0,0
frontend/src/redux/VersionFixer.tsx,1282,43,46,1193,89,427,294,5,441,26,0
docs/discovery/2026-05-25_identity_binding.md,1281,138,0,1143,138,172,971,0,0,0,0
frontend/src/common/Geom.ts,1278,0,0,1278,0,0,22,0,1256,0,0
frontend/src/components/abstract/style.scss,1255,405,0,850,405,6,123,61,660,0,0
frontend/src/components/editor-v2/nodes/ObjectNode.tsx,1248,301,51,896,352,8,13,875,0,0,0
frontend/src/components/megamodel/MegamodelView.tsx,1229,771,3,455,774,18,14,423,0,0,0
docs/redesign/rail/Jodel Side Panel.dc.html,1220,0,0,1220,0,0,1220,0,0,0,0
docs/handover/2026-01-29-documentation-section.md,1197,436,0,761,436,0,761,0,0,0,0
frontend/src/components/abstract/tabs/DocumentationTab.tsx,1195,21,0,1174,21,8,1166,0,0,0,0
docs/discovery/discovery_2026-08-08_uniformazione_card_properties.md,1193,0,0,1193,0,159,0,1034,0,0,0
frontend/src/pages/settings.scss,1161,0,0,1161,0,0,116,1045,0,0,0
frontend/src/services/JjodieRagService.ts,1151,2,0,1149,2,0,1149,0,0,0,0
docs/discovery/discovery_2026-08-22_layout_per_viewpoint.md,1144,0,0,1144,0,416,0,728,0,0,0
frontend/src/components/logger/logger.scss,1135,0,0,1135,0,0,1049,0,86,0,0
docs/redesign/jjodel-menu-spec.md,1115,0,0,1115,0,0,1115,0,0,0,0
frontend/src/jjel/evaluator/evaluator.ts,1109,38,0,1071,38,67,838,166,0,0,0
docs/discovery/discovery_2026-08-26_form_views_slice1.md,1097,0,0,1097,0,1097,0,0,0,0,0
