metric,REF >=2026-08-14 con marker (harness certo),REF >=2026-08-14 senza marker,REF pre-2026 (manuale certo),AMB 2026-01..08-13 con marker,AMB 2026-01..08-13 senza marker
n,182,156,1325,532,432
churn_p10,14,6,2,9,8
churn_p25,45,26,7,20,46
churn_med,156,142,46,88,261
churn_p75,323,313,203,304,1022
churn_p90,552,912,552,706,2764
churn_mean,303.0,333.5,8829.2,364.1,6789.6
files_p25,1,1,1,1,2
files_med,3,2,3,2,4
files_p75,4,3,8,4,10
files_p90,7,7,16,8,22
files_mean,3.59,2.8,22.67,4.12,16.55
subj_p10,52,45,5,51,12
subj_med,66,64,17,66,38
subj_p90,78,86,39,82,75
body_med,81,64,18,437,42
body_p90,1440,87,52,1134,525
multiline,86,3,96,373,74
conv,181,155,2,488,174
lower,182,156,1002,488,347
gap_p25,3.9,3.4,16.8,5.4,13.6
gap_med,15.5,15.0,210.2,27.4,66.5
gap_p75,32.8,46.3,1211.2,145.1,559.5
night,54,48,393,225,141
touches_log,91,59,0,229,119
