snapshot,rev,files,lines_total,lines_ts_tsx,lines_ts_tsx_test,lines_scss_css,lines_js,lines_docs,lines_altro
origine 2021-03-31,5bc8862e4,19,365,64,9,51,0,0,241
2025-01-01,7a17a244d,325,73410,49017,0,22993,136,0,1264
2026-01-01,0fde4c8cc,358,78173,60752,0,15206,281,0,1934
2026-02-01,59273a8cf,774,212598,112909,275,64835,277,30391,3911
2026-03-01,f51b4c57a,975,281015,161403,275,82381,281,32577,4098
2026-04-01,b18b7ba2d,1151,335505,184846,4725,92192,462,46423,6857
2026-05-01,ece8d194a,1192,352958,189695,6490,92912,462,57764,5635
2026-06-01,9b5fe0b89,1297,392071,196655,7254,94712,462,85832,7156
2026-07-01,b944eabd4,1390,416899,201182,7587,95322,462,105007,7339
2026-08-01,b77a69b46,1505,438178,207996,10930,95889,850,115257,7256
2026-08-28 (758aded1b),758aded1b,2241,595955,227897,20269,101873,868,237459,7589
